181	5	92	5
267	5	106	5
470	3	38	3
166	6	305	5
471	3	46	3
16	8	137	6
472	3	55	3
473	4	26	4
103	2	20	2
359	4	54	4
927	3	28	3
926	5	181	5
450	6	129	5
378	2	14	2
137	2	33	2
13	2	21	2
2	3	33	3
40	9	57	5
379	2	10	2
21	2	18	2
928	3	21	3
218	3	26	3
184	4	33	4
272	5	90	5
61	5	168	5
168	2	15	2
273	4	275	4
274	3	16	3
33	8	79	5
931	4	46	4
295	2	33	2
98	3	19	3
183	2	30	2
268	2	11	2
431	3	32	3
647	2	12	2
75	4	38	4
136	5	46	4
102	2	11	2
15	4	32	4
496	2	36	2
306	2	17	2
392	4	32	4
60	2	13	2
219	2	51	2
258	3	36	3
56	3	39	3
250	2	17	2
259	4	107	4
196	2	12	2
630	2	26	2
1057	2	25	2
8	2	12	2
320	2	13	2
73	6	49	5
217	3	72	3
631	2	14	2
66	3	19	3
357	2	22	2
36	2	13	2
1059	7	92	6
51	4	38	4
31	5	24	4
18	3	65	3
301	2	27	2
497	3	29	3
498	4	28	4
3	3	52	3
499	3	51	3
1736	3	27	3
701	2	18	2
65	3	18	3
702	2	46	2
234	3	18	3
235	2	23	2
220	2	76	2
101	2	25	2
278	3	24	3
290	2	14	2
1062	7	119	5
106	2	13	2
1063	3	28	3
999	3	37	3
703	2	13	2
1064	2	11	2
337	2	13	2
59	2	17	2
704	7	78	5
37	3	35	3
1741	2	21	2
248	2	9	2
1065	2	21	2
1066	3	30	3
255	2	19	2
53	3	49	3
705	2	23	2
111	2	30	2
179	2	9	2
1744	2	26	2
1745	3	47	3
504	2	32	2
308	4	39	4
368	2	15	2
32	2	8	2
1068	2	13	2
899	2	53	2
127	4	104	4
323	2	19	2
324	2	30	2
109	3	48	3
322	2	13	2
100	3	35	3
30	3	25	3
455	2	14	2
43	3	23	3
1069	3	20	3
1070	5	41	4
1747	3	23	3
1071	4	71	4
58	2	10	2
211	2	14	2
154	4	33	4
362	3	29	3
706	3	19	3
297	3	17	3
1586	2	15	2
629	5	124	5
175	3	22	3
225	2	23	2
192	2	11	2
1748	2	13	2
461	2	38	2
231	2	11	2
25	2	14	2
900	3	135	3
83	2	31	2
795	2	9	2
1072	5	41	4
438	7	2189	7
393	2	13	2
394	2	51	2
5	2	16	2
395	3	36	3
317	2	14	2
318	3	25	3
319	2	20	2
233	2	12	2
442	5	37	4
1076	2	126	2
561	2	10	2
19	4	29	4
562	2	28	2
35	2	8	2
1349	2	18	2
449	2	11	2
645	2	27	2
828	2	46	2
1351	4	71	4
832	2	18	2
309	3	37	3
564	3	47	3
565	2	13	2
566	3	29	3
428	2	11	2
429	4	43	4
426	2	25	2
85	2	11	2
24	2	16	2
833	3	22	3
72	2	37	2
1352	2	40	2
271	3	59	3
305	4	72	4
372	3	20	3
230	2	16	2
294	5	38	4
293	4	24	4
236	4	55	4
221	2	10	2
834	2	41	2
4	2	12	2
313	2	22	2
263	3	15	3
93	3	52	3
1353	2	36	2
1356	3	37	3
1357	2	13	2
81	2	9	2
571	2	17	2
459	3	64	3
835	4	64	4
7	4	45	4
153	2	11	2
572	2	24	2
108	2	11	2
573	3	15	3
63	4	55	4
418	3	50	3
1361	2	19	2
838	2	22	2
839	5	76	5
574	2	13	2
876	5	144	5
189	11	206	8
1369	3	97	3
1370	2	11	2
997	2	17	2
10	2	23	2
132	2	20	2
182	2	11	2
167	2	11	2
464	2	52	2
579	2	16	2
1373	2	8	2
840	2	8	2
1374	2	10	2
55	2	20	2
48	2	12	2
46	2	13	2
1	4	92	4
11	2	41	2
478	4	69	4
185	2	10	2
198	3	24	3
