2085 5534 6404 6794 6456 6851;426 122296 10 507 122374 7 120822 -1 0 37198 -1 0
741 3842 6381 6409;877 13887 5 6687 13888 5 71655 -1 0 8332 -1 0
1225 3224 6454 6724;1186 34082 7 34430 59091 6 4792 -1 0 43 -1 0
2899 6309 6466 6823 6461;6965 251989 11 23721 251997 9 105012 -1 0 68127 -1 0
343 3356 6404 6574 6575;2660 7677 131 3690 7685 52 123247 -1 0 48095 -1 0
2895 6151 6404 6770 6958 6751;72529 250506 8 39083 250552 5 31950 -1 0 13032 -1 0
874 4003 6409;1186 18401 10 8278 18406 29 321 18412 4 4103 -1 0 53304 -1 0 21338 -1 0
2005 5454 6404 6534 6406 6764;30859 114264 17 1192 114266 13 108470 -1 0 22336 -1 0
545 3565 6404 6540 6421 6576 6620;4468 8130 5 4571 14326 5 1782 -1 0 8337 -1 0
108 3086 6399;63 819 5 116 823 5 5031 -1 0 13185 -1 0
1235 4434 6381 6709;877 34537 11 11651 34645 20 135618 -1 0 107045 -1 0
1520 3301 6454 6455 6547;8783 51217 12 7611 51218 8 2767 -1 0 143145 -1 0
1633 4939 6381 6390 6447 6451;877 61637 4 2703 61640 5 7 -1 0 61957 -1 0
2338 5810 6404 6465 6608;99943 150210 4 14476 150214 7 36809 150217 4 113038 -1 0 70109 -1 0 70268 -1 0
696 3483 6404 6400 6498;5935 12582 22 4839 12587 7 3690 12625 17 6236 15439 4 93035 -1 0 5116 -1 0 58081 -1 0 21452 -1 0
645 3161 6404 6465 6390;5868 11007 6 5951 11008 7 23159 -1 0 2621 -1 0
719 3810 6404 6400 6466;5189 13168 11 6597 13184 8 32138 -1 0 3993 -1 0
355 2937 6413 6439 6442;1396 4341 17 5555 31811 6 20299 -1 0 558 -1 0
2225 5682 6404 6487 6455;91176 135891 5 33170 135892 5 71896 -1 0 92443 -1 0
897 3357 6421 6425 6515;8771 19257 13 2092 19286 10 36983 -1 0 47075 -1 0
1990 5433 6404 6529 6828;8783 111471 7 15369 111639 18 70730 -1 0 104754 -1 0
2276 5495 6404 6409 6388 6444 6541;48511 140793 8 1192 140794 31 109144 -1 0 11251 -1 0
1763 5007 6404;1186 77642 10 993 77653 7 1192 77682 23 2417 -1 0 29289 -1 0 1781 -1 0
1003 4160 6423 6390 6487;8412 23054 12 4490 23055 14 64311 -1 0 88620 -1 0
2058 4182 6404 6433 6460;20225 118160 4 1186 118162 17 30859 118163 7 1192 118198 5 68798 -1 0 507 -1 0 92852 -1 0 5740 -1 0
2195 5639 6404 6466 6770 6766;10832 133037 4 30859 133044 7 42379 -1 0 11151 -1 0
1431 4677 6404 6583 6676 6728;2241 46010 9 20225 46012 6 8545 -1 0 3528 -1 0
277 3057 6404 6541;1781 3161 7 630 3164 18 25836 -1 0 1764 -1 0
675 3751 6404 6400;1945 11929 6 361 11930 6 6235 -1 0 160808 -1 0
2475 5958 6404 6602;1396 168817 17 1192 168858 14 143145 -1 0 11240 -1 0
461 3470 6423;180 6398 5 1396 6399 9 4438 -1 0 34361 -1 0
1073 4007 6404 6419;11063 25426 9 8834 25427 5 10414 25428 6 3640 25462 6 18943 -1 0 8607 -1 0 37243 -1 0 132645 -1 0
987 3075 6423 6513 6661 6682;1396 22513 5 7788 22571 20 4613 -1 0 3798 -1 0
753 3862 6399 6388;610 14420 8 7005 14421 4 77017 -1 0 11526 -1 0
