ExpertID   TeamID    QuestionIDwithBestAnswer    Score 
10179 85 301 5.0
10180 1351 480 13.0
10181 1107 366 52.0
10182 1135 309 4.0
10183 1143 339 28.0
10184 1146 311 4.0
10185 322 312 9.0
10186 8 317 5.0
10187 8 317 7.0
10188 751 318 10.0
10189 751 318 83.0
10190 751 318 15.0
10191 751 318 13.0
10192 1069 355 13.0
10194 22 320 27.0
10195 587 321 4.0
10196 842 322 6.0
10197 865 384 22.0
10198 1180 328 14.0
10199 1180 328 9.0
10200 323 330 6.0
10201 1181 333 11.0
10166 2253 2124 216.0
10202 1113 335 22.0
10203 1808 1193 48.0
10204 1192 337 10.0
10205 962 1253 36.0
10206 1147 350 5.0
10207 1139 352 6.0
10208 1069 355 9.0
10211 1197 592 7.0
10212 1198 361 10.0
10213 1199 362 4.0
10214 1077 367 58.0
10215 1077 367 14.0
10216 1213 1439 140.0
10217 1068 370 5.0
10218 1088 371 5.0
10219 1011 372 4.0
10220 823 374 15.0
10221 823 374 16.0
10222 840 376 15.0
10223 1219 377 4.0
10224 1219 377 5.0
10225 1240 1399 50.0
10226 379 382 17.0
10229 486 387 9.0
10230 486 387 8.0
10231 1265 399 25.0
10233 467 400 27.0
10234 1270 2053 15.0
10235 668 1537 24.0
10236 1276 405 11.0
10237 1276 405 30.0
10238 1276 405 15.0
10239 1276 405 9.0
10240 1276 405 5.0
10028 592 408 6.0
10241 1277 412 36.0
10242 1278 410 11.0
10243 1277 412 6.0
10244 1279 413 4.0
10245 1111 414 39.0
10246 1280 415 6.0
10073 2015 1411 76.0
10247 1932 1229 22.0
10248 1285 427 5.0
10249 1090 428 4.0
10250 2253 2124 23.0
10251 1075 434 4.0
10252 1287 440 5.0
10253 1238 443 6.0
10254 1290 470 9.0
10255 1294 1038 324.0
10256 1299 448 4.0
10257 1005 453 8.0
10258 1300 454 8.0
10259 1301 456 5.0
10260 1432 2712 145.0
10262 381 458 5.0
10263 382 460 4.0
10264 1094 461 8.0
10265 936 1644 71.0
10266 474 468 33.0
10267 1095 469 4.0
10268 1290 470 11.0
10269 1290 470 8.0
10270 24 472 7.0
10271 1291 473 5.0
10272 1346 474 8.0
10273 1346 474 10.0
10274 1347 475 26.0
10275 1347 475 15.0
10276 1347 475 8.0
10277 1348 476 8.0
10278 1348 476 7.0
10279 1349 477 8.0
10280 1349 477 8.0
10282 1350 478 4.0
10283 1350 478 5.0
10284 1351 480 10.0
10285 959 1311 11.0
10286 444 649 201.0
10287 1367 483 6.0
10288 87 486 10.0
10290 1375 487 4.0
10291 1375 487 4.0
10292 591 488 31.0
10294 1496 625 7.0
10295 25 495 4.0
10296 384 498 7.0
10297 384 498 11.0
10298 1376 499 23.0
10299 699 845 92.0
10300 1383 505 5.0
10301 1243 506 4.0
10302 1386 508 19.0
10303 1386 508 7.0
10304 26 509 5.0
10305 375 510 5.0
10306 875 1027 9.0
10308 1397 515 35.0
10309 1397 515 9.0
10310 89 516 5.0
10311 515 518 21.0
10312 515 518 5.0
10313 90 520 9.0
10314 159 524 5.0
10315 387 528 8.0
10316 649 666 12.0
10317 1400 530 33.0
10318 1400 530 17.0
10319 1400 530 35.0
10320 1400 530 6.0
10321 1402 533 15.0
10322 92 535 29.0
10323 92 535 73.0
10324 92 535 11.0
10325 1403 537 13.0
10326 1403 537 4.0
10327 1403 537 5.0
10328 1404 538 21.0
10329 1404 538 12.0
10330 727 540 8.0
10331 1405 542 4.0
10332 93 545 5.0
10333 94 546 12.0
10334 777 547 12.0
10335 388 548 6.0
10336 1406 550 4.0
10337 1845 1102 118.0
10338 1409 551 41.0
10339 1413 552 5.0
10307 877 1154 39.0
10340 1413 552 4.0
10341 390 553 4.0
10342 1414 555 5.0
10343 1415 556 6.0
10344 1415 556 6.0
10345 1415 556 27.0
10346 1415 556 16.0
10347 1416 557 4.0
10348 1416 557 4.0
10349 1417 560 9.0
10350 581 562 5.0
10351 1369 564 8.0
10352 1369 564 19.0
10353 1369 564 14.0
10048 1369 564 8.0
10354 1369 564 11.0
10355 1369 564 7.0
10356 1369 564 16.0
10357 1369 564 9.0
10358 1369 564 8.0
10359 1369 564 5.0
10360 1419 568 19.0
10361 1419 568 7.0
10362 1422 569 13.0
10363 1424 2708 158.0
10364 1425 570 4.0
10365 1426 572 4.0
10366 1427 1405 8.0
10367 707 573 8.0
10368 1429 664 13.0
10369 1428 574 8.0
10370 1436 1980 8.0
10371 1437 579 9.0
10372 1437 579 14.0
10373 1442 719 24.0
10375 1444 581 7.0
10376 692 2631 7.0
10378 1455 587 26.0
10379 1455 587 4.0
10381 96 589 4.0
10382 1197 592 5.0
10383 1445 599 9.0
10384 1410 593 4.0
10377 1450 612 26.0
10385 878 2389 44.0
10386 1456 595 9.0
10387 1456 595 7.0
10193 2253 2124 42.0
10388 1105 598 5.0
10389 393 602 4.0
10390 394 604 4.0
10391 1484 605 17.0
10392 395 606 4.0
10393 1370 607 5.0
10394 1485 609 11.0
10395 1485 609 73.0
10397 1450 612 8.0
10398 1486 613 6.0
10399 1487 614 9.0
10400 1487 614 7.0
10401 1488 615 5.0
10402 1488 615 5.0
10403 171 1471 20.0
10404 1492 618 4.0
10405 1493 1659 10.0
10406 1429 664 31.0
10407 1441 622 6.0
10408 1495 624 11.0
10409 1496 625 4.0
10410 1496 625 7.0
10411 729 626 6.0
10412 729 626 7.0
10413 729 626 6.0
10414 1498 627 9.0
10415 1372 745 27.0
10416 97 631 10.0
10417 97 631 4.0
10420 882 632 4.0
10421 91 633 24.0
10422 306 634 13.0
10423 1371 635 6.0
10424 1502 1122 6.0
10425 1246 640 6.0
10426 1246 640 24.0
10427 1505 643 9.0
10428 444 649 16.0
10429 444 649 8.0
