1314 498 327 26 4 452 327 26 104 638 254 9573 1116 3507 790 4947 1068,1,2
5589 855 92 620 748 73 849 1068 6096 5589 215 2830 564 191,1,7
295 4 5876 327 26 56 273 308 5986 10 1213 638 1938 327 26 51 9575 2 1694 88,1,15
788 374 31 486 894 8239 1632 2006 8239 202 1632 2006 374 31 374 1006 3 75 2006 75,1,29
5676 498 234 26 118 1406 26 234 118 176 5676 894 970,1,31
1046 498 5348 205 623 10494 192 132 1144 26175 345 4371 205 401 316 26176 1582 805 205 129,1,71
679 2471 297 477 2471 868 333 224 880 78 679 2471 26177 165 254 980 617 2561 519 274,1,78
13 1276 4090 331 24 10 121 1592 2241 23 710 289 4696 565 1276 1462 2322 2 2663 2333,1,79
1247 540 403 7 519 735 441 519 7 441 7 5028 404 186 2 179 773 7 519 441,1,85
432 97 58 1167 94 118 432 97 58 2233 461 9 58 517 337 7 10 164 3559 517,1,89
92 519 274 100 4011 254 488 617 2234 226 1021 4011 1712 208 146 2109 506 39 4011 519,1,90
580 195 402 1426 623 473 773 1426 623 473 196 138 3695 1426 1375 43 4595 6622 26182 179,1,94
58 9 433 230 9 236 9 433 102 136 119 215 1573 58 913 39 433 236 9 15,1,102
508 111 74 442 508 2187 111 74 2187 169 508 1140 588 371 318 1065 15 3278 8526 314,1,111
244 7 1492 2409 1350 1461 121 6 1492 15 974 123 78 1492 53 806 3658 2292 244 7,1,122
2 195 7 695 156 536 9592 697 2967 14 2589 7 695 1156 765 6947 1625 6355 1096 56,1,123
1427 101 148 509 1083 4 3658 317 142 4 3658 317 142 509 1083 9594 445 1427 15 509,1,129
1419 22 2055 4 12 167 689 1536 339 2055 1419 22 689 1419 16 192 166 20838 315 5262,1,142
460 580 391 707 194 2617 3541 30 368 27 194 2617 3541 30 2054 242 794 1496 707 194,1,147
279 11110 1 4200 312 2563 1 1937 2 2399 1943 26186 744 1131 1 4200 730 886 784 54,1,166
790 1270 2446 509 1083 297 509 1083 1547 1427 1278 326 1 135 138 534 2742 135 138 15,1,185
83 98 39 993 7 98 7 39 83 39 98 98 2919 7 1 458 886 3 3108 3,1,208
5040 438 617 1459 1428 5040 724 561 447 1286 72 1177 7553 1389 638 100 1051 724 43 352,1,236
1191 223 4829 569 960 9601 2948 104 3626 1190 3217 2077 2153 4829 569 73 148 223 4770 758,1,237
551 164 869 2650 133 51 569 57 1544 1849 2650 2798 2200 164 682 2650 2243 1018 2176 2760,1,239
198 959 356 1312 893 1615 1046 498 46,1,286
113 848 5896 2004 3912 370 100 2128 2100 1352 2897 56 273 571 4425 1352 372 5599 140 48,1,290
1 113 469 135 1500 2651 1 469 2409 458 1442 869 1 1491 7 15 1428 2577 1 2952,1,296
1544 3328 2058 12654 12655 3353 5772 9225 6117 15197 2292 1544 3328 307 881 2058 307 874 2553 1555,1,304
1400 25 36 317 142 56 111 36 13 74 234 118 595 458 36 4 12 24 25 36,1,312
181 2682 711 385 1284 3466 13 74 3700 2969 1300 802 393 99 765 315 276 419 26214 2969,1,317
990 2248 27 487 227 990 617 266 2234 305 93 409 595 101 400 990 2332 169 1501 2079,1,335
1025 2535 1111 1546 6 6 627 1860 637 10 767 23 1932 1839 309 828 617 482 1459 65,1,339
36 1074 839 493 168 27 574 36 1074 839 309 638 15 1074 1972 2225 2202 3253 4380 36,1,341
4171 3761 1570 800 134 103 286 13828 10 3913 3628 633 4171 1734 26219 934 134 398 836 615,1,361
1400 94 118 167 1400 2561 94 118,1,363
94 200 2536 2536 707 558 262 36 3667 182 2535 451 2536 632 417 124 1436 799 1839 3061,1,384
2363 3086 518 333 78 2900 306 728 1474 749 142 288 377 1474 30 291 1 33 4334 8542,1,389
784 54 54 214 1613 5 828 496 1662 12 421 54 214 1613 5 113 169 167 964 94,1,391
3560 588 1021 76 518 1237 938 2230 76 518 254 2233 77 3192 773 889 260 2087 725 19,1,408
1237 3560 69 148 76 171 3560 60 56 76 518 737 695 1237 4522 2230 56 308 76 171,1,409
478 58 2500 598 11 5 94 118 745 151 2015 58 598 11 5 276 297 58 1169 9,1,427
35 919 667 241 127 1112 1323 35 919 13 74 241 557 104 349 25 728 35 7372 241,1,437
316 1225 13 74 6646 238 1587 316 1225 13 74 3849 2939,1,463
965 857 17559 6 121 1699 605 6 1081 1390 555 37 288 714 6 791 791 6 1579 605,1,466
92 2849 122 8 1016 11 122 8 840 1584 994 83 1153 589 19 69 208 145 674 122,1,478
221 1 397 5784 1478 31 306 490 221 1 104 652 57 7 1342 31 3 1084 397 1478,1,535
1353 722 378 155 221 378 1459 2292 4 535 9 3228 10 1268 1462 2260 221 378 1443 722,1,541
1762 164 214 576 358 508 1004 655 13853 11144 1115 57 103 5875 156 2750 92 3024 43 1028,1,542
92 215 496 975 108 836 11 5 2974 20973 96 149 1136 97 1228 1251 1281 3 1403 97,1,575
92 71 3010 71 520 2814 15246 995 12686 3010 290 3596 1007 995 6 2305 5286 167 2466 388,1,615
92 727 1137 462 890 1596 409 3104 204 623 308 138 92 727 112 1137 389 3250 226 570,1,630
822 618 728 35 297 728 35 33 1753 66 35 286 1669 104 349 13 74 1133 23 748,1,634
224 3509 2346 414 685 626 122 8 1466 124 3509 1435 57 889 414 1056 6 734 4 6,1,651
92 7579 387 19 894 3162 748 52 14 2093 937 352 173 3162 92 4026 387 1074 5196 19,1,661
2561 36 2435 254 806 286 514 6642 36 2435 7174 954 1074 839 1290 167 1212 36 4 12,1,679
131 390 270 927 528 523 23 7776 839 8886 148 1369 27 131 390 927 343 21 1089 37,1,704
343 134 4343 27 4107 1065 153 56 3465 131 27 12701 381 716 4168 134 250 776 810 2803,1,721
246 2295 20995 2904 302 5455 2904 381 20995 2904 33 295 2904 3232 206 246 2295 933 244 1873,1,728
924 5198 4344 3269 885 950 1065 5198 4344 2876 4552 3555 5187,1,756
1334 26248 1082 1541 295 949 6254 1171 254 15268 316 794 3822 1082 1541 295 13 252 445 1334,1,783
22 252 5373 871 5022 60 871 5022 4476 442 12 1238 22 17587 17587 17587 26254 350 22 335,1,799
