84 1099 5 55 197 133 555 16015 263 3939 352 1099 5 55 197,1,2
985 1444 2425 718 985 1444 2425 718 161 1471 1444 1081 503 1798 2518 1088 527 2519 2425 718,1,5
181 19 8 2185 142 25 13272 1472 1252 688 4768 1252 149 1645 81 594 785,1,14
879 757 211 5 16024 123 109 5 4028 24 2186 79 5 6564 112 1 4028 537 14 757,1,20
134 8 1929 239 4 5 2521 435 88 1929 4246 79 2260 1293 71 494,1,21
398 2 4909 5945 2 13287 127 303 7792 1930 102 2 4909 156 20759 672 127 800 166 13288,1,29
95 25 519 29 1271 811 41 1986 268 18 100 471 17 646 9 519,1,33
12 2373 10 25 12 10 520 237 324 1679 1 25 3534 2081 12 485 135 134 5488 524,1,43
10 495 3167 8 70 18 13311 1067 117 10 127 150 218 4638 40 879 5 14 10 127,1,46
11171 2 4 5 129 617 14 2 20764 88 369,1,47
8481 705 18 6 472 5 14 2 40 5724 705 6 2 126 270 97 105 40 2 3392,1,48
646 10 341 556 234 113 399 10 432 471 2 5 1069 147 20766 188 585 10 225 24,1,56
8 15 8 652 187 127 1747 3833 25 103 38 67 80 287 461 713 17 398 3396 652,1,59
405 229 1181 1659 2011 705 18 6 472 74 167 8481 705 18 6 472 5 14 2 89,1,62
15 15 86 25 160 124 305 725 387 126 217 341 124 8 15 387 126 217 983 725,1,63
185 1541 42 194 687 871 5 197 96 40 1853 71 197 735 6859 278 2127 537 147 81,1,64
95 1435 2 274 281 5 18 30 1435 679 274 281 5 942 60 16100 18 126 2 274,1,81
5730 2219 1772 247 20770 362 4501 403 1182 770 2399 6862 57 5968 22 712 922 918 242 96,1,82
844 5 435 655 1197 537 8 2937 5 1846 291 117 346 127 1747 435 87 88 888 1659,1,86
216 39 92 153 18 234 3176 8 498 127 2098 20776 216 126 320 8 483 212 24 12,1,93
7823 71 1675 303 405 2138 25 167 5973 234 837 968 6587 1005 20779 5 266 4386 196 340,1,94
908 1774 2330 124 2034 2053 963 859 57 5 3955 124 5975 4924 1034,1,111
513 964 100 100 1114 6 1548 10202 20782 6 1548 2395 3771 13356 1135 13 100 1532 797 9,1,123
