125 77 3 1470 218 655 114 77 91 4 357 1880 112 19 218,1,1
67 90 179 27 19 1881 1882 5 101 12 1 364 10 84 179 27 67 2102 179 19,1,2
170 17 14 266 219 12 170 17 14 266 219 3 8589 1883 3216 155 8590 1397 345,1,9
1177 14 15 2 597 74 452 15 2 24 1 535 74 370 274 95 208 14 366 5429,1,27
299 27 20 641 299 27 126 26 81 44,1,39
78 111 804 3770 81 78 111 804 3770 81 17 155 4634 612 3220 65 967 3771 3221,1,87
1566 146 1 3 7 1 2106 1128 8 3 968 3 447 1707 21 502 3 1080 269 1231,1,112
852 453 127 89 57 13 185 257 127 3776 215 13 185 221 1757 1813 10 1753 1 1129,1,181
59 424 4 177 94 238 21 424 4 238 177 94 705 216 1081 20 107 7 388 462,1,186
497 1 2 1523 109 3226 1 1523 22 49 154 475 7,1,216
35 138 1182 1323 385 243 259 2317 79 1 688 29 10 7 138 882 2678 2211 130 258,1,224
18 3 531 1604 5467 1961 77 3 218 112 1 1401 23 66 235 1157 359 1824,1,236
2 205 35 173 1443 5 388 84 230 10 70 35 317 443 3 119 52 1443 107 230,1,245
21 189 60 565 57 18 41 21 60 565 57 18 41 531 688 243 2023 8616 23 20,1,253
7 96 462 2108 147 15 6668 1 152 147 147 294 6668 21 7 96 462 2108 426 147,1,285
2 1240 700 2 75 1 46 1240 700 1000,1,338
2544 170 370 1 7 147 2213 8629 52 8630 3243 1573 4668 1089 974 6674 1 577 67 400,1,341
33 1 6 779 466 154 21 33 1 25 3814 29 10 6676 33 8 11 43 9 92,1,390
1004 792 21 1365 8 3 3515 254 1406 259 1207 211 259 71 715 65 97 331 8632 8633,1,422
7 94 199 57 214 159 17 21 996 477 396 27 163 7 199 94 57 214 159 23,1,591
1277 144 273 1 1277 144 273 1 229,1,989
6689 303 333 568 1 6689 925 333 568 2 75 1,1,1051
21 7 4683 3763 1368 1 171 1976 1067 29 10 70 7 4683 1 51 92 142 639 1114,1,1054
2 990 36 4 545 268 990 36 886 1409 29 20 20 886 990 36 233 601 248 268,1,1058
88 223 882 179 253 21 7 88 882 179 130 1353 253 1353 122 42 261 65 243 2023,1,1114
792 313 2132 1 65 316 234 1200 50 313 47 54 61 45 54 390 43 4687 639 313,1,1120
2691 81 244 1723 197 457 155 2 109 4 271 62 457 654 316 3013 1622 201 4694 1233,1,1156
19 851 378 50 203 16 2 508 171 2550 282 426 508 48 519 122 642 1116 21 129,1,1235
421 1 238 982 1096 197 200 832 408 200 155 10 2845 906 30 20 8644 200 143 1363,1,1263
1248 1373 727 1 3 4207 8645 503 3 4708 243 2023 3023 311 510 8646 349 1117 766 105,1,1291
103 279 407 1301 75 77 1 91 563 2232 65 316 155 564 181 2233 65 1491 79 1368,1,1315
1355 3222 725 249 127 89 7 725 249 84 690 65 8647 13 725 122 42 3222 1886 2225,1,1333
236 36 3543 3277 591 1479 1 312 6722 320 36 441 3277 1669 21 327 1981 322 10 75,1,1340
21 948 426 3 65 312 97 58 136 4721 471 577 400 552 859 267 1 939 681 65,1,1431
66 1 1540 462 830 801 991 8672 1540 462 1 12 66 694 4726 91 126 100 215 285,1,1468
1 190 273 2342 4 65 2343 382 127 89 3 20 66 339 1725 2342 569 273 44 723,1,1540
7 5 615 388 341 1481 1 5 615 388 341 1481 1 5 615 27 521 205 130 152,1,1592
154 2 435 2 215 12 34 198 46 384 73 2 2 4731,1,1600
21 181 5 2246 1 21 181 5 2246 1 6,1,1620
455 199 27 1 5 199 539 469 1820 8 1485 331 1733 270 680 8 30 66 2699 78,1,1624
1370 743 320 711 442 216 12 743 35 34 2208 743 1026 320 223 442 170 8684 21 59,1,1641
21 447 1059 3 1337 1770 1 6 2343 382 12 606 167 698 1059 3 1337 1770 1357 1675,1,1699
13 3046 150 57 18 41 65 316 21 243 2023 1 457 1084 61 45 3 149 60 86,1,1705
743 1026 2318 315 22 81 154 743 2 143 1496 6750 4272 5510 743 30,1,1714
1839 171 920 105 3 65 878 896 1360 463 81 1759 4 3288 112 205 135 447 276 2706,1,1727
497 1759 75 1 171 1437 1 347 302 1047,1,1749
137 554 1 6 21 137 554 1 6 256 194 16,1,1759
228 179 105 1 3 1 3 65 316 2 350 277 130 283 105 228 3564 426 105 3,1,1784
1765 81 1 4 2864 400 1 4 723 180 10 5596 156 965 217 29 2349 1966 124 10,1,1793
132 646 1530 1 21 132 646 1530 1,1,1795
127 89 887 1724 263 76 31 263 2 2154 1858 7 12 687 1987 127 89 887 1724 263,1,1805
2312 13 1342 2713 4 125 252 6741 2713 4 670 475 7 1342 8699 940 8700 399 2464 1160,1,1819
175 84 5 47 3 369 20 276 84 5 47 3 101 12 8701 6806 5 47,1,1841
134 1500 1408 590 127 89 21 134 882 3 1500 1408 8702 453 882 8703 882,1,1909
4781 1858 1 65 13 3066 644 46 37 1858 6809 79 241 122 642 4781 1858 375 76 642,1,1949
1004 755 21 158 936 120 276 1586 312 1125 4788 12,1,1964
27 1587 282 5609 46 65 118 404 1586 127 89 494 2 2353 8704 301 254 1587 282 441,1,1975
59 725 249 277 151 1453 6821 13 725 249 2815 2836 127 89 3 10 270 118 82 505,1,2007
284 1586 130 226 194 3573 24 1 152 171 32 1586 2344 130 439 529 243 1098 65 408,1,2012
467 37 2 1 3 1612 782 1 49 1089 12 720 508 98 352 2040 32 37 285 27,1,2016
19 81 79 44 1 1138 2716 127 89 1 3 143 639 4 19 1305 683 44 320 53,1,2018
98 2697 1405 151 2584 64 438 127 89 98 2229 38 1405 151 2584 64 438 35 166 942,1,2028
7 239 405 697 4302 3317 4303 1196 1568 2158 239 405 12 245 1444 2356 2825 3759 4662 3,1,2032
384 1117 263 1 3 21 384 1117 263 1 3 66 160 1117 213 2873 324 1117 20 70,1,2042
275 91 209 68 115 52 1227 367 209 68 223 115 172 91 209 149 4820 886 61 45,1,2065
666 897 1997 27 1433 3219 298 9 87 3582 435 99 1997 635 292 3219 298 4309 651 1433,1,2108
3074 1737 4 144 3074 6841 125 325 344 257 122 19 12 31 31 3074 6841 3074 8714 642,1,2145
1004 8715 21 470 71 553 1044 1 3 137 772 3 20 1206 1164 470 5462 8716 248 667,1,2172
4 19 1075 888 61 45 107 2812 1429 2 599 1220 8719 27 8720 8 8721 3 349 61,1,2208
5 199 17 60 446 5 199 526 223 603 155 10 3328 2148 479 177 60 786 423 671,1,2280
1795 367 227 283 1 172 382 367 227 27 8 227 367 78 1753 1838 258 125 888 237,1,2305
1442 212 16 1063 15 2120 2165 1 91 247 8737 75 149 1397 4 110 1686 6855 244 137,1,2310
98 336 615 1 2244 2108 3071 5 615 102 98 5 615 102 1 360 222 1763 473 1660,1,2379
33 1317 1318 1326 8 17 1493 1 63 29 10 33 1317 1318 8748 8 4847 802,1,2432
7 354 1 25 546 5 47 3033 577 104 8750 58 1565 942 291 715 259 688 4327 2343,1,2437
42 48 128 1 4 65 48 128 8753 604 846 7 48 128 44 1180 475 1240 295 1000,1,2453
33 274 179 283 33 274 179 283,1,2466
42 890 3 268 290 1282 65 316 2 10 3336 259 268 2202 890 6 3814 65 3337 12,1,2492
142 700 4845 1 2479 1 7 959 2061 360 1 314 12 466,1,2498
275 459 5659 4 15 6876 459 354 4 962 459 838 1615 467 27 20 7 459 21 32,1,2538
6806 347 5 47 1 6 57 242 187 261 243 2023 3 1543 98 47 638 20 175 20,1,2569
723 529 936 801 1430 171 1367 480 810 1619 958 1 27 403 936 120 790 54 27 2670,1,2581
2202 1 6 280 1959 8759 23 66 1957 1 280 1959 21 59 1662 8760 528 321 882 315,1,2603
263 4 1575 2115 1575 3097 1575 263 4 855 263 2 263 1575 8762 194 4820 525 26 2598,1,2650
8766 77 8767 3 8768 77 4778 506 243 1547 20 2047 268 8769 1733 38 3 79 241 3,1,2722
675 829 1012 829 133 302 829 133 829 1012 76 1131 847,1,2743
21 19 1981 249 1355 130 2738 1355 130 1010 2067 1 19 1309 249 127 89 773 288 1097,1,2843
743 364 34 2602 35 743 32 743 1789 329 223 442 95 743 364 34 2602 8775 65 80,1,2845
8776 36 757 92 512 2886 17 3083 259 8777 36 757 92 4 427 36 4874 125 186 8778,1,2868
2889 44 421 316 408 79 4 26 32 109 44 243 1 182 79 1065 132 704 10 81,1,2906
92 99 872 610 26 89 1460 21 99 84 872 610 26 89 3 42 1231 26 201 255,1,2948
92 1059 1032 26 2573 29 10 1059 341 3613 1317 1318 3 4 7 18 117,1,2951
220 2348 258 179 530 2348 258 13 366 243 1098 258 27 95 20 220 2348 85 516 32,1,2969
84 1 18 269 84 269 1 18 47 99 18 269 218 1 6 206 1363 5677 218 292,1,2974
32 449 335 1 3 29 10 66 449 335 1 3 7 3 60 19 414 449 335 3086,1,2984
233 3 7 53 30 254 307 3 4904 8790 1343 233 601 51 593 1100 817 108 1529 243,1,2997
16 15 44 67 67 1 44 28 14 8791 74 103 102 3619 10 497 1 46 1 16,1,3002
1 5689 8 803 499 8796 637 646 813 2751 439 1612 48 392 368 461 8797 777 396 4364,1,3129
277 179 184 6835 249 21 228 179 1 3 136 23 1300 506 2176 29 10 7 2985 249,1,3238
960 39 6 611 490 554 727 89 105 1757 69 3022 118 252 254 490 512 262 89 105,1,3246
178 662 317 222 10 92 178 319 662 317 384 530 1479 767 8815 8816 173 475 553 475,1,3273
304 2272 689 27 51 1994 117 1 2573 20 72 375 904 109 117 107 1059 1066 142 719,1,3294
8822 2 117 447 12 571 1183 81 44 67 3 117 330 12 202 1570 81 447 4927,1,3308
59 553 238 3117 3829 21 59 553 1044 263 238 4928 3117 3829 111 8823 629 8824 94 303,1,3333
919 575 9 31 556 3015 114 1244 42 278 1735 1225 7 417 811 25 144,1,3366
245 21 403 1336 4 231 789 167 196 1617 114 8831 78 227 1 3 1896 188 305 265,1,3396
66 4 408 727 214 127 3364 79 2177 77 125 1160 119 3216 8833 3366 62 593 132 320,1,3493
92 14 1 105 92 14 1 105 29 2273,1,3521
54 678 2246 98 431 678 3615 98 2 526 62 2101 54 1615 84 678 569 8834 569 256,1,3533
260 130 105 3 316 21 260 130 126 192 3 965 1164 752 198 34 6880 936 120 2734,1,3537
1478 8837 6824 2 881 720 65 2 2670 12 70 262 4384 3074 150 125 13 1149 1114 5600,1,3579
103 27 250 3895 29 10 32 86 1299 3 185 7 3895 2173 147 32 148 1 6 27,1,3715
92 852 243 7005 688 57 1991 1813 215 125 1604 243 644 37 688 186 91,1,3742
886 228 16 3 105 102 214 164 2 403 460 1964 8838 2845 1516,1,3774
1271 1820 8 1485 819 635 8 1445 13 1820 8 1485 4387 707 819 8 233 635 8 345,1,3786
3636 152 3127 2 1 12 180 5732 1 110 55 350 7 3636 1059 1482 4946 57 4946 3637,1,3830
8846 90 60 1943 75 1 65 8847 29 10 7 1 3 751 60 461 8848 126 304 10,1,3883
421 4 282 61 45 222 4 84 1311 61 45 767 53 67 688 541 8849 209 149 1790,1,3978
612 2 1340 29 10 612 933 108 344 3380 170 2120 7019 21 29 2537 4388 21 1874 4,1,3983
137 662 36 137 662 36 443 402 127 89 252 444 36 367 3766 263 27 82 21 19,1,3998
92 59 2910 920 1 712 92 59 2910 920 1 712 1 37 65 13 715 4966,1,4044
457 214 1895 1 25 8851 1434 38 1 448 8852 12 7021 7021 174 60 41 214 1434 174,1,4117
743 31 3 593 743 80 34 177 3 107 367 36 34 1246 2318 7031 356 280 177 3,1,4206
14 138 249 1 142 664 444 14 138 249 84 249 1 330 218,1,4228
1 6674 141 812 708 1239 3243 370 1262 79 1 110 1 46 2077 416 8856 1044 5 544,1,4236
421 3 2679 57 8861 123 446 23 20 137 123 23 20 66 288 3 2128 29 550 65,1,4262
99 27 1602 13 388 458 21 99 2 705 1150 388 458 107 248 1576 8862 8863 408 1615,1,4285
101 12 60 596 34 5 7 84 171 272 646 284 362 1969 102 5 200 1364 148 1058,1,4351
7 775 61 45 401 77 3 66 77 3 3593 438 158 576 775 212 1929 7 65 736,1,4497
2278 7 1 3 5762 5 641 12 53 180 1160 101 12 593 53 30 98 615 388 199,1,4570
1287 3 3967 228 1 3 1287 3967 3941 137 3056 38 126 479 58 3229,1,4623
1055 119 922 243 600 1 91 1802 21 1055 119 922 75 243 600 91 248 42 922 3385,1,4676
4397 192 38 179 1141 65 420 192 133 2897 311 237 30 431 38 179 547 258 1827 3,1,4738
1004 301 743 1026 358 420 3 593 66 743 358 420 3 593 114 76 31 231 2835 2343,1,4739
5 199 1085 133 31 1549 1 91 1549 832 2325 1085 4 108 2381 7 1180 1085 15 8864,1,4814
116 1601 94 7054 1063 598 116 8867 66 94 4991 5770 598 36 116 779 66 4905 722 7054,1,4829
278 98 2 7 502 159 359 65 13 278 98 2 41 253 47 7 502 159,1,4878
1212 4 61 75 77 25 349 4 61 190 37 1 72 3 77 31 129 229,1,4929
3 66 2366 1 3 3 2366 1385 8868 156 243 1098 1385 2353 705 1385 126 3 427 2366,1,4943
35 1221 449 335 392 368 159 35 384 449 335 60,1,4947
99 47 1 46 7 161 5 296 178 435 248 8869 8870 82 612 2 46 4407 8871 3360,1,4955
54 1 4 2730 2812 32 4 378 2730 2812 114 141 2 7 1112 2812 14 2,1,4972
755 21 989 209 94 755 21 998 209 94 1346 1 6 83 1185 996 2829 2068 1085 221,1,4996
2 851 886 99 26 207 277 161 2919 65 912 571 23 20 297 610 269 668 30 65,1,5001
200 1 46 439 3989 200 62 1 46 34 439 336 192 7 777 396 200 2226 46 327,1,5006
3653 3088 1902 36 2076 475 552 1802 1522 1619 1364 1283 8892 66 26 201 2285 36 345 136,1,5043
456 460 5 101 1865 536 769 17 3 751 456 45 5003 1641 11 3 911 456 769 91,1,5044
99 84 792 458 4415 85 838 1521 261 9 9 44 275 44 122 42 473 81 1196 2,1,5084
1422 1222 380 523 7 125 2343 382 608 3095 127 3646 1549 122 5008 1222 1820 8 1485 3398,1,5153
